	D21BC	D21PT	D21R6	D21R7
LINC01847	0	0	0	0
ADRA1B	1	2	20	30
GAPDHP40	4	1	1	2
TTC1	187	148	321	243
AC068657.1	1	1	1	3
PWWP2A	74	92	140	115
FABP6	0	0	0	0
AC008609.1	0	0	0	0
AC112191.1	0	0	0	0
CCNJL	2	1	0	0
AC112191.2	0	0	1	1
AC112191.3	0	0	0	0
C1QTNF2	4	6	0	4
ZBED8	27	26	54	34
SLU7	229	215	375	353
PTTG1	14	10	30	19
MIR3142HG	0	0	1	1
MIR3142	0	0	0	0
MIR146A	0	0	0	0
ATP10B	0	0	0	0
AC008456.1	0	0	0	0
AC011363.1	0	0	0	0
LINC02159	0	0	0	0
GABRB2	1	0	0	0
GABRA6	0	0	0	0
AC091944.1	0	0	0	0
GLRXP3	0	1	1	1
GABRA1	0	0	1	0
LINC01202	0	0	0	0
GABRG2	0	0	0	0
AC113414.1	0	1	1	0
RNU6-164P	0	0	0	0
ARL2BPP5	0	0	0	0
MRPL57P6	0	0	1	0
AC008723.1	0	0	0	0
CCNG1	726	762	900	895
NUDCD2	79	74	124	96
HMMR	11	12	11	11
HMMR-AS1	0	0	0	0
MAT2B	220	224	520	435
AC116917.1	0	0	0	0
RNU6-168P	0	0	0	0
AC008432.1	0	0	0	0
LSM1P2	0	0	0	0
AC008662.1	0	0	1	0
AC008662.2	0	0	0	0
AC109466.1	5	2	10	15
LINC02143	1	1	3	1
AC008446.1	0	0	0	0
RNU6-209P	0	0	0	0
LINC01938	0	1	1	1
AC008415.1	0	0	0	2
RN7SKP60	0	0	0	0
AC008562.1	0	0	0	0
AC008489.1	0	0	0	0
RPL7P20	0	0	0	0
AC114321.1	0	0	0	0
AC026403.1	6	7	2	3
LINC01947	0	0	0	0
AC091819.2	0	0	0	0
AC091819.1	0	0	0	0
TENM2	35	50	36	33
AC091820.2	0	0	0	0
AC091820.1	0	0	0	0
AC008601.1	0	0	0	0
AC008708.2	0	1	0	1
AC008708.1	0	0	1	0
AC008464.1	0	0	0	0
AC008705.1	0	0	1	0
AC011369.1	0	0	0	0
AC011369.2	0	0	0	0
AC008637.1	1	0	0	0
WWC1	45	53	15	17
RARS	842	674	890	603
FBLL1	4	3	4	7
PANK3	329	362	760	440
SLC2A3P1	0	0	0	0
MIR103A1	0	0	0	0
MIR103B1	0	0	0	0
RPL10P9	3	1	3	2
AC011365.2	8	21	31	49
SLIT3	101	201	332	459
AC011365.1	22	27	35	62
MIR218-2	0	0	0	0
AC011389.2	0	1	0	2
AC011389.3	0	1	2	1
AC011389.1	0	4	12	2
MIR585	0	0	0	0
RNU6-477P	0	0	0	0
SPDL1	39	33	99	75
DOCK2	1	7	9	17
AC008680.1	0	0	0	0
FAM196B	2	3	12	20
MIR378E	0	1	0	0
FOXI1	0	2	14	5
KRT18P41	0	0	0	0
LINC01187	0	0	0	0
C5orf58	0	0	0	0
LCP2	0	3	5	1
AC034199.1	0	1	0	0
LINC01366	0	0	0	2
KCNIP1	0	0	0	0
KCNMB1	3	4	8	3
AC027306.1	0	0	0	0
AC008619.1	0	0	0	0
AC027312.1	0	0	0	0
AC008514.1	0	0	0	0
GABRP	0	0	0	0
RANBP17	47	33	54	28
RN7SL623P	0	0	3	0
AC008514.2	1	3	0	0
AC010306.1	0	0	0	0
AC091980.2	0	0	0	0
TLX3	0	0	0	0
AC091980.1	0	0	0	0
RN7SL339P	0	0	0	0
RPSAP71	0	0	0	0
SNORA70J	0	0	0	0
RPL10P8	0	0	0	0
MIR3912	0	0	0	0
NPM1	5270	4850	3862	3245
FGF18	0	1	2	0
AC011410.1	0	0	0	0
SMIM23	0	0	0	0
FBXW11	498	492	523	443
STK10	174	195	248	185
EFCAB9	0	0	1	2
UBTD2	214	192	434	339
KLF3P1	0	0	1	1
SH3PXD2B	709	934	1504	1339
LINC01944	0	0	0	0
AC027309.3	0	0	0	0
NEURL1B	20	13	8	8
AC027309.2	0	1	1	1
MIR5003	0	0	0	0
AC027309.1	3	3	3	0
AC022217.2	0	0	0	0
AC022217.1	0	0	0	0
AC022217.3	0	0	1	1
DUSP1	894	1079	1748	1715
AC022217.4	0	0	0	0
AC110011.1	0	0	0	0
ERGIC1	1311	1457	2178	1854
AC008429.1	0	1	0	5
AC008429.3	0	3	1	2
RPL26L1	94	98	126	110
AC008429.2	2	1	1	0
ATP6V0E1	626	591	1703	1394
AC008429.4	1	2	0	0
SNORA74B	13	15	17	25
CREBRF	109	158	383	347
CDC42P5	0	0	0	3
AC008378.1	1	1	2	1
BNIP1	48	43	76	50
RPL7AP33	0	0	0	0
NKX2-5	0	0	0	0
RNA5SP200	0	0	1	1
STC2	5484	4875	2535	2982
MIR8056	0	0	0	0
RNU6-500P	0	0	0	0
AC016573.1	1	0	1	0
AC008632.1	1	2	0	0
AC008663.1	0	1	0	1
AC008663.3	0	0	0	0
AC008663.2	0	1	2	0
BOD1	316	296	475	442
LINC01863	0	0	0	0
LINC01942	0	0	0	0
LINC01484	0	0	0	0
LINC01485	0	0	0	0
CPEB4	107	136	231	187
C5orf47	0	0	0	0
RPL12P22	0	0	0	0
NSG2	0	0	0	0
AC113423.1	0	0	0	0
AC113423.2	0	0	0	0
AC011333.1	0	0	0	0
AC025752.1	0	0	0	0
LINC01411	0	0	1	0
GAPDHP71	0	2	1	0
SUMO2P6	1	0	0	0
AC108112.1	0	0	0	0
HIGD1AP3	0	0	0	0
MSX2	3	2	2	4
AC113346.2	0	0	0	0
MIR4634	0	0	0	0
AC113346.1	0	0	0	1
LINC01951	0	0	0	0
NIFKP2	0	0	0	0
AC008413.1	0	0	0	0
AC008413.2	0	0	0	0
ARL2BPP6	0	0	0	0
DRD1	0	0	0	0
SFXN1	352	351	314	248
AC091393.1	0	4	2	1
RN7SKP148	0	0	0	0
HRH2	0	0	0	0
RNU6-226P	0	0	0	0
CPLX2	0	2	0	1
AC138965.3	0	0	0	0
AC138965.2	0	0	0	0
THOC3	102	89	99	67
AC138965.1	0	0	0	0
OR1X1P	0	0	0	0
AC139491.3	0	0	0	0
AC139491.1	0	0	0	0
FAM153B	0	0	0	0
AC139491.7	0	0	0	0
AC139491.5	0	0	0	1
AC139491.4	0	0	0	0
AC139491.2	0	0	0	3
AC139491.6	0	0	0	1
AC139493.2	0	0	0	0
AC139493.1	0	0	0	0
SIMC1	25	33	51	57
BRCC3P1	0	3	1	2
KIAA1191	523	558	519	424
AC138956.1	58	46	60	35
AC138956.2	2	5	3	1
ARL10	187	391	208	155
MIR1271	0	1	0	0
NOP16	87	92	141	99
HIGD2A	50	55	99	102
CLTB	332	244	483	396
AC010297.1	0	0	0	0
FAF2	388	434	631	422
RNF44	72	101	91	81
CDHR2	2	2	7	1
RN7SL684P	0	0	0	0
GPRIN1	16	24	29	14
SNCB	4	3	2	0
MIR4281	0	0	0	0
EIF4E1B	0	0	0	0
TSPAN17	127	127	275	196
AC113391.1	0	0	0	0
AC113391.2	0	0	0	0
LINC01574	0	0	0	0
UNC5A	0	0	0	0
HK3	0	0	0	1
UIMC1	103	114	157	158
ZNF346	80	77	130	82
ZNF346-IT1	1	3	2	0
FGFR4	22	25	11	5
NSD1	671	817	927	620
AC146507.2	1	3	1	0
PRMT1P1	1	6	7	8
RAB24	64	37	38	43
MXD3	378	284	413	303
PRELID1	469	436	636	482
LMAN2	1060	935	1916	1997
AC146507.1	0	0	2	0
RGS14	20	21	29	30
SLC34A1	0	0	0	0
PFN3	0	0	0	0
F12	9	16	5	1
GRK6	61	89	106	81
PRR7-AS1	3	15	5	4
PRR7	71	84	83	48
DBN1	998	907	1167	896
AC145098.2	28	30	28	17
PDLIM7	511	667	940	959
AC145098.1	4	4	6	0
DOK3	24	48	25	23
DDX41	878	944	721	511
FAM193B	174	280	267	251
AC139795.3	2	3	1	2
TMED9	1438	1268	1560	1033
B4GALT7	385	322	374	229
AC139795.2	31	43	41	23
AC139795.1	15	15	23	21
AC138819.1	1	1	0	0
FAM153A	0	7	1	0
AC140125.2	1	0	0	0
AC140125.1	0	0	0	0
AC106795.1	69	33	71	47
OR1X5P	0	0	0	0
AC140125.3	0	0	0	0
AC106795.3	0	0	0	0
AC106795.2	1	0	0	2
AC106795.5	0	0	0	0
SUDS3P1	4	6	6	3
PROP1	0	0	0	0
FAM153C	1	1	0	0
AC136632.1	4	3	3	7
N4BP3	12	16	5	6
RMND5B	124	128	228	247
NHP2	217	177	285	259
AC136632.2	0	1	0	0
GMCL2	0	0	1	0
HNRNPAB	370	313	388	260
PHYKPL	183	267	221	244
COL23A1	2	0	2	2
AC136601.2	0	0	0	0
AC136601.1	0	0	0	0
RN7SL646P	0	0	0	0
AC008659.1	0	0	0	0
CLK4	106	123	180	211
RN7SKP70	0	1	1	0
ZNF354A	17	23	39	22
AACSP1	2	0	0	0
AC126915.2	0	0	0	0
AC126915.1	0	0	0	0
AC126915.3	0	0	0	0
ZNF354B	26	21	44	38
RNU1-39P	0	0	0	0
ZFP2	8	5	10	13
AC104117.1	0	1	0	0
PIGFP1	0	1	0	0
AC104117.5	0	0	0	0
ZNF454	12	16	22	15
AC104117.3	1	4	7	1
GRM6	0	10	5	1
AC104117.4	0	0	0	0
ZNF879	14	16	39	18
ZNF354C	91	82	120	109
AC104117.2	23	20	33	35
ADAMTS2	5226	6145	6437	4730
AC109479.3	3	0	13	12
AC109479.1	2	7	16	28
AC109479.2	0	0	0	0
AC136628.1	0	0	0	0
AC136628.4	0	0	0	0
AC136628.2	0	0	0	0
AC136628.3	0	0	0	0
RUFY1	396	356	518	447
PRDX2P3	1	1	2	3
AC136604.2	48	50	55	46
HNRNPH1	1429	1375	1914	1626
C5orf60	0	0	0	0
AC136604.1	0	0	0	0
AC136604.3	5	4	4	1
CBY3	10	4	7	7
CANX	4696	4788	4806	3691
HMGB3P22	2	3	0	5
MAML1	120	179	260	194
LTC4S	17	16	27	16
MGAT4B	179	200	306	271
MIR1229	0	0	0	0
SQSTM1	1059	1009	3286	2719
MRNIP	547	466	1528	1242
RN7SKP150	0	0	0	1
AC008393.1	5	6	10	4
TBC1D9B	1085	1341	1525	1306
RNF130	152	191	349	261
RPS15AP18	0	0	0	0
AC010285.2	0	0	0	0
AC010285.1	0	3	0	2
MIR340	0	0	0	0
AC122713.2	0	0	0	0
AC122713.1	0	0	0	0
RASGEF1C	2	2	0	0
AC104115.1	1	1	0	0
MAPK9	127	126	202	134
AC104115.2	3	1	2	0
AC008610.1	0	1	0	0
GFPT2	1013	987	502	450
AC034213.1	0	0	0	0
RNU6-525P	0	0	0	0
CNOT6	94	129	139	106
AC122714.1	0	0	0	0
SCGB3A1	0	0	0	0
FLT4	2	1	0	0
AC122714.2	0	0	0	0
LINC02222	0	0	0	1
OR2AI1P	0	0	0	0
RNU1-17P	0	0	0	0
OR2Y1	0	0	0	0
MGAT1	795	793	1448	1187
AC022413.1	3	2	4	6
HEIH	68	67	134	132
LINC00847	78	66	110	101
ZFP62	127	115	196	171
BTNL8	0	0	0	0
RPS29P12	0	0	0	0
AC091874.3	0	0	0	0
AC091874.2	0	0	0	0
AC091874.1	0	0	0	0
BTNL3	0	0	0	0
RNU6-1036P	0	0	0	0
BTNL9	1	0	0	0
MIR8089	0	0	0	0
AC008620.1	0	0	0	0
FOXO1B	0	0	0	0
AC008620.2	0	0	0	0
OR2V1	0	0	0	0
OR2V2	0	0	0	2
LINC01962	0	1	0	0
AC008443.5	4	5	2	2
TRIM7	6	8	11	9
AC008443.6	1	1	2	2
AC008443.4	0	1	0	0
TRIM41	306	277	364	420
MIR4638	1	0	0	0
AC008443.2	32	43	67	42
RACK1	9233	8435	5811	5741
SNORD96A	0	0	0	0
SNORD95	0	0	0	0
AC008443.1	26	35	53	40
TRIM52	37	65	150	92
TRIM52-AS1	9	15	27	17
AC008443.3	0	1	2	0
AC008443.7	1	0	0	0
RNU6-705P	0	0	0	0
AC138035.1	1	0	0	1
AC138035.3	0	0	0	0
AC138035.2	0	0	0	0
OR4F3	0	0	0	0
WBP1LP4	0	0	0	0
RPL23AP45	0	0	0	0
WBP1LP12	0	0	0	0
OR4F1P	0	0	0	0
CICP18	0	0	0	0
AL035696.2	0	0	0	0
AL035696.3	0	0	0	0
AL035696.1	0	0	0	0
DUSP22	89	124	155	117
IRF4	0	0	0	0
EXOC2	163	144	255	215
AL031770.1	0	1	1	1
HUS1B	1	1	3	3
AL357054.1	1	1	2	3
AL357054.4	0	0	0	1
AL357054.2	0	0	0	0
AL357054.3	0	0	1	0
AL392183.1	0	0	0	0
AL356130.1	0	0	0	0
AL356130.2	0	0	0	0
AL033381.2	0	0	0	0
AL033381.1	0	1	0	0
FOXQ1	19	18	52	28
LINC01394	0	2	0	0
AL034346.1	1	1	2	6
FOXF2	71	106	90	69
MIR6720	2	2	4	5
RN7SL352P	0	4	0	0
AL512329.1	0	3	1	1
AL512329.2	1	1	0	2
FOXCUT	0	2	0	1
FOXC1	242	425	615	391
GMDS	67	85	108	75
GMDS-AS1	58	66	68	70
HMGN2P28	0	2	0	0
AL031768.1	1	0	0	0
AL359852.1	0	1	0	0
LINC01600	1	4	3	0
LINC02521	0	0	0	0
MYLK4	34	46	23	17
WRNIP1	360	373	404	268
SERPINB1	78	82	153	120
MIR4645	0	0	0	0
SERPINB9P1	0	0	0	1
SERPINB9	1	2	14	28
AL133351.3	0	0	0	0
AL133351.2	0	0	0	0
SERPINB6	390	398	400	392
LINC01011	5	9	3	4
NQO2	256	233	346	286
AL133351.1	2	0	0	1
HTATSF1P2	17	21	44	23
AL133351.4	0	0	0	0
FAM136BP	0	0	0	0
SERPINB8P1	0	0	0	0
AL031963.2	0	0	0	0
RIPK1	165	168	380	332
AL031963.3	5	8	13	18
RNA5SP201	0	0	0	0
BPHL	82	71	107	95
AL031963.1	31	34	47	42
TUBB2A	577	463	317	175
TUBB2BP1	1	2	0	0
LINC02525	0	1	0	0
TUBB2B	942	898	143	78
PSMG4	290	275	332	274
SLC22A23	106	247	464	340
AL445309.1	5	13	12	22
AL138881.1	0	0	0	1
AL033523.1	0	0	0	0
PXDC1	338	288	520	390
AL391422.3	104	113	170	162
AL391422.1	0	0	1	3
AL391422.2	0	0	0	0
FAM50B	107	77	136	138
AL590004.3	0	0	0	0
AL590004.4	0	3	9	8
AL590004.2	0	0	0	0
AL590004.1	0	0	0	0
TDGF1P4	0	0	0	0
GLRX3P2	0	1	0	2
AL138831.3	2	3	0	3
AL138831.2	0	1	0	0
AL138831.1	1	0	2	1
PRPF4B	301	258	472	427
FAM217A	1	1	3	1
C6orf201	53	63	93	105
ECI2	155	141	259	213
AL136309.4	5	4	15	13
AL136309.2	3	1	3	5
AL136309.3	0	1	0	1
AL136309.1	0	0	1	0
AL162718.1	0	1	0	1
AL159166.1	0	0	0	0
RNA5SP202	0	0	0	0
LINC02533	0	0	0	0
AL133393.1	0	0	0	0
AL034376.2	0	0	0	0
AL034376.1	0	0	0	0
PSMC1P11	0	0	0	0
CDYL	277	264	333	271
AL356747.1	0	0	0	0
AL022725.1	0	0	0	0
AL359643.1	0	0	0	0
RPP40	19	18	40	24
AL359643.3	4	6	6	9
AL359643.2	1	1	5	4
AL139094.1	0	0	1	0
PPP1R3G	66	51	68	62
LYRM4	126	103	154	169
MIR3691	0	1	0	0
FARS2	72	90	137	130
AL121978.1	0	0	0	0
AL021328.1	0	1	7	2
HNRNPA1P37	0	1	1	2
AL022097.1	1	4	3	1
AL136968.2	0	1	0	0
AL136968.1	0	1	0	0
AL136307.1	0	0	0	0
RN7SL221P	0	0	0	0
PKMP5	0	0	0	0
NRN1	457	416	302	207
F13A1	928	720	14	0
MIR7853	1	0	0	0
MIR5683	0	3	0	0
LY86-AS1	0	0	0	0
SNAPC5P1	0	0	0	0
CNN3P1	0	0	0	0
LY86	2	0	0	0
AL031123.2	0	0	0	0
AL031123.3	0	0	0	0
AL031123.1	0	0	0	0
AL136361.1	0	0	0	0
BTF3P7	0	0	0	0
AL158817.1	0	0	0	0
RN7SL554P	0	2	0	0
AL139390.1	0	0	0	0
RREB1	235	366	394	387
AL355336.1	2	8	6	10
SSR1	843	1137	1078	742
AL139095.4	37	46	54	31
CAGE1	1	0	6	1
AL139095.1	0	0	0	0
AL139095.2	5	1	1	1
AL139095.3	0	0	0	0
RIOK1	83	94	158	139
HNRNPLP1	0	0	0	0
AL138878.1	0	0	0	0
AL138878.2	0	0	0	0
AL031058.1	2	0	4	4
DSP	167	198	501	370
SNRNP48	66	65	94	79
AL390026.1	0	0	0	0
BMP6	33	74	13	15
TXNDC5	165	81	130	94
BLOC1S5-TXNDC5	0	0	0	0
AL096800.1	0	0	0	0
PIP5K1P1	0	0	2	2
BLOC1S5	58	54	52	59
EEF1E1-BLOC1S5	0	0	0	0
EEF1E1	15	6	32	20
AL355499.1	0	0	0	0
AL355499.2	0	0	0	0
AL359378.1	0	0	0	0
SLC35B3	186	105	266	178
AL591485.1	27	21	23	25
RF02101	0	0	0	0
AL137220.1	1	0	0	0
OFCC1	0	0	0	0
AL136226.1	0	0	0	0
AL354868.1	0	0	0	0
RNU6ATAC21P	0	0	0	0
AL138885.1	0	0	0	0
TFAP2A	7	6	2	3
AL138885.3	3	5	0	2
TFAP2A-AS1	1	0	1	2
AL138885.2	0	0	0	1
LINC00518	0	0	0	0
MIR5689HG	0	0	0	0
MIR5689	0	0	0	0
MRPL48P1	0	0	0	0
LINC02522	0	0	0	0
GCNT2	0	0	0	0
AL139039.3	0	0	0	0
AL139039.1	0	0	0	0
AL139039.2	0	0	0	0
GCNT2P	0	0	0	0
C6orf52	3	4	0	3
PAK1IP1	90	83	199	131
TMEM14C	286	247	433	391
AL024498.1	0	3	4	7
TMEM14B	96	93	131	92
AL024498.2	0	0	0	0
RNA5SP203	2	2	1	0
MAK	5	17	9	5
GCM2	0	3	0	2
AL357497.1	0	1	0	0
SYCP2L	0	0	2	0
ELOVL2	1	0	0	0
AL121955.1	0	0	0	0
ELOVL2-AS1	0	0	0	0
SMIM13	73	76	108	71
ERVFRD-1	3	7	9	6
AL136139.1	0	0	0	1
AL139807.1	8	3	26	19
NEDD9	251	296	939	790
AL445430.1	0	0	0	0
AL445430.2	0	0	0	0
RNU1-64P	0	0	1	0
THAP12P5	0	0	0	1
TMEM170B	16	22	26	27
AL357518.1	0	0	0	0
ADTRP	5	2	3	1
AL022724.1	1	0	2	0
AMD1P4	0	0	0	1
AL157373.1	0	0	0	0
AL157373.2	0	0	0	1
HIVEP1	86	143	104	103
EDN1	0	1	1	1
SUMO2P12	0	0	0	0
RN7SKP293	0	0	0	0
RPL15P3	8	12	11	9
LINC02530	0	0	0	0
PHACTR1	4	10	12	8
RNU1-11P	0	1	0	0
AL008729.1	3	2	0	4
TBC1D7	62	50	53	35
AL008729.2	1	2	0	1
GFOD1	215	253	595	662
GFOD1-AS1	21	20	43	63
RPS4XP7	0	0	0	0
RN7SKP204	0	0	0	0
SIRT5	71	63	107	87
AL441883.1	4	6	10	12
NOL7	244	242	272	258
RANBP9	417	476	541	394
MCUR1	92	111	140	112
AL023583.1	0	0	1	1
RNF182	18	33	51	25
MRPL35P1	0	1	0	0
AL022396.1	0	0	0	0
CD83	79	46	41	27
RNU7-133P	0	0	0	0
AL353152.1	0	0	0	0
LINC01108	0	1	0	0
AL080313.2	0	0	0	0
AL080313.1	0	0	0	0
AL109914.1	0	0	1	0
RNU6-793P	0	0	0	0
AL138720.1	0	0	0	0
AL050335.1	0	0	0	0
RN7SL332P	0	0	0	0
AL136162.1	2	1	0	0
JARID2	139	224	100	56
JARID2-AS1	0	4	2	0
RNU6-522P	0	1	1	0
RNU6-645P	0	0	0	0
DTNBP1	14	23	32	18
ARPC3P5	0	0	0	0
LINC02543	1	0	0	0
AL365265.1	0	0	0	0
AL021407.2	0	0	0	0
MYLIP	129	151	333	250
MIR4639	0	0	0	0
AL021407.3	0	0	0	0
AL021407.1	0	0	0	0
MRPL42P2	0	0	0	0
RNU6-1114P	0	0	0	0
GMPR	13	12	57	55
AL009031.1	0	0	1	1
ATXN1	268	388	447	329
AL137003.1	3	3	4	3
AL137003.2	0	1	2	1
STMND1	0	0	0	0
RBM24	2	0	2	1
AL034372.1	0	0	0	0
CAP2	16	14	31	10
RPL7P26	0	0	0	0
SUMO2P13	0	0	0	0
FAM8A1	115	128	193	144
NUP153	182	240	331	276
RNU6-190P	0	0	0	0
AL138724.1	23	27	46	49
RNA5SP204	0	0	0	0
KIF13A	328	398	727	512
AL023807.1	1	2	3	3
NHLRC1	13	18	32	26
TPMT	93	76	133	78
KDM1B	62	82	117	112
DEK	206	184	333	229
AL138825.1	0	0	0	0
RNU6-263P	0	0	0	0
DDX18P3	0	0	0	0
AL138725.1	0	1	0	0
RNF144B	120	130	56	35
MIR548A1HG	0	0	0	0
MIR548A1	0	0	0	0
AL589647.1	0	0	0	0
AL357052.1	0	0	0	0
AL022068.1	6	3	9	4
RPL5P20	0	0	0	0
RNA5SP205	0	0	0	1
KRT18P38	0	0	0	0
UQCRFS1P3	0	0	0	0
RNU6-801P	0	0	0	0
ID4	233	282	198	118
AL008627.1	0	1	0	0
MBOAT1	10	5	10	15
AL158198.1	0	0	0	0
E2F3	110	110	134	112
RN7SL128P	25	27	56	30
E2F3-IT1	2	2	4	1
RNU6-141P	0	2	1	0
CDKAL1	103	104	245	221
AL035090.1	0	0	0	0
AL513188.1	0	1	0	0
RNU6-150P	0	0	0	0
AL031767.1	0	1	0	1
LINC00581	0	0	0	0
AL512380.1	1	0	0	0
AL512380.2	36	18	69	36
SOX4	468	454	857	523
BOLA2P3	1	0	0	0
CASC15	47	61	35	21
AL136313.1	0	0	0	0
RN7SKP240	0	0	0	0
NBAT1	7	6	7	4
AL359694.1	0	0	1	0
AL359694.2	0	0	0	0
PRL	5	4	5	8
HDGFL1	0	0	0	0
AL033539.1	0	0	0	0
AL035401.1	0	0	0	0
AL591416.1	0	0	0	0
RNU6-1060P	0	0	0	0
AL139231.1	0	0	0	0
AL133270.1	0	0	0	0
AL139093.1	0	0	0	0
SPTLC1P2	0	0	0	0
AL032822.1	0	0	0	0
HNRNPA1P58	0	0	0	0
NRSN1	0	0	0	0
RF00218	0	0	0	0
DCDC2	0	1	0	1
KAAG1	0	0	0	0
RNU6-391P	0	0	0	0
MRS2	99	88	158	118
GPLD1	5	20	12	13
ALDH5A1	11	15	18	21
KIAA0319	0	3	4	8
KRT8P43	1	0	0	0
TDP2	90	110	196	125
ACOT13	203	186	295	217
AL031775.1	110	74	124	81
C6orf62	838	916	1476	1377
AL031775.2	0	2	0	1
AL133264.2	0	0	0	0
AL133264.1	0	0	0	0
GMNN	74	67	49	33
C6orf229	0	0	0	0
AL512428.1	0	0	0	0
RIPOR2	25	51	72	50
MTCO2P33	0	0	0	0
PPIAP29	1	0	0	0
ASS1P1	0	0	1	1
RN7SL334P	0	1	0	0
AL133268.3	0	0	0	0
AL133268.2	0	0	0	1
CMAHP	92	84	68	50
AL133268.1	1	0	0	2
AL590084.3	0	0	0	0
AL590084.1	0	0	0	0
AL590084.2	0	0	0	0
KATNBL1P5	0	0	0	0
AL024509.2	0	0	0	0
AL024509.1	0	0	0	0
CARMIL1	192	158	171	184
RNU6-987P	0	0	0	0
SCGN	0	0	0	0
PRELID1P2	0	0	0	0
HIST1H2AA	0	0	0	0
HIST1H2BA	0	0	0	0
HIST1H2BPS1	0	0	0	0
HIST1H2APS1	0	0	0	0
SLC17A4	0	0	0	0
SLC17A1	0	0	0	0
SLC17A3	0	0	0	0
HIST1H2APS2	0	0	0	0
AL138726.1	0	0	0	0
SLC17A2	0	0	0	0
TRIM38	122	120	605	704
U91328.2	9	10	40	47
U91328.1	4	13	21	17
U91328.3	0	0	0	0
HIST1H1PS2	0	0	0	0
HIST1H1A	15	14	9	1
HIST1H3A	31	29	38	28
HIST1H4A	55	68	22	19
HIST1H4B	118	112	100	131
HIST1H3B	66	86	34	19
HIST1H2AB	34	21	32	33
HIST1H2BB	19	25	36	35
HIST1H2APS5	0	0	3	0
HIST1H3C	55	43	45	32
HIST1H1C	157	183	234	160
HFE	109	114	227	192
HIST1H4C	151	146	144	131
HIST1H1T	0	0	3	0
HIST1H2BC	394	340	394	487
HIST1H2AC	305	327	1447	1236
HIST1H1E	135	122	122	93
HIST1H2BD	186	184	510	512
AL353759.1	10	5	32	24
LARP1P1	0	0	0	0
HIST1H2BE	46	31	83	69
HIST1H4D	79	92	51	78
HIST1H1PS1	0	2	6	0
AL031777.3	2	1	7	7
HIST1H3D	0	0	0	0
HIST1H2AD	0	0	0	0
HIST1H2BF	19	22	25	46
AL031777.1	0	0	2	0
HIST1H4E	449	473	310	238
HIST1H2BG	66	57	72	90
HIST1H2AE	30	41	54	56
AL031777.2	0	0	0	0
HIST1H3E	39	43	64	28
HIST1H2APS3	0	1	0	0
HIST1H1D	24	43	27	20
HIST1H4F	64	38	31	33
HIST1H4G	0	0	0	0
HIST1H3F	11	23	8	8
HIST1H2BH	13	12	14	13
HIST1H3G	26	27	13	8
HIST1H2APS4	0	0	0	0
HIST1H2BI	27	27	30	32
HIST1H4H	244	252	305	265
HIST1H3PS1	0	0	0	0
BTN3A2	45	43	366	378
BTN2A2	54	57	91	84
BTN3A1	59	84	445	437
BTN2A3P	25	38	48	62
BTN3A3	47	58	351	394
BTN2A1	104	125	174	194
AL121936.2	0	0	0	0
BTN1A1	0	1	1	0
RNU6-502P	0	0	0	0
HCG11	173	158	241	214
HMGN4	132	143	254	224
AL121936.1	0	0	0	0
ABT1	143	119	236	192
AL513548.3	1	1	1	0
AL513548.2	0	0	0	0
ZNF322	35	36	40	41
AL513548.1	0	1	0	0
GUSBP2	4	6	6	8
POM121L6P	1	0	1	0
LINC00240	5	4	5	3
AL133255.1	0	0	0	0
VN1R12P	0	0	0	0
VN1R13P	0	0	0	0
VN1R11P	0	0	0	0
RNU2-62P	0	0	0	0
AL021807.1	0	1	5	7
HIST1H2BJ	65	80	166	142
HIST1H2AG	116	105	126	122
HIST1H4I	21	23	69	40
HIST1H2BK	172	227	331	183
HIST1H2AH	82	73	47	49
MIR3143	0	0	0	0
RPL10P2	0	0	0	0
PRSS16	0	0	0	0
AL021808.1	0	0	0	0
POM121L2	0	0	0	0
VN1R10P	0	0	0	0
ZNF204P	3	9	22	26
ZNF391	20	24	19	25
AL031118.1	1	4	3	1
MCFD2P1	0	2	0	0
ZNF184	33	29	85	73
AL021918.2	0	0	0	0
AL021918.1	0	0	1	0
HNRNPA1P1	0	0	0	0
CD83P1	0	0	0	0
RNU6-471P	0	0	0	0
AL031229.1	0	0	0	0
LINC01012	0	1	0	0
GPR89P	0	1	0	0
RSL24D1P1	2	0	0	0
HIST1H4PS1	0	1	0	0
HIST1H2BL	57	50	24	22
HIST1H2AI	18	38	27	15
HIST1H3H	75	60	102	102
HIST1H2AJ	23	28	12	10
HIST1H2BM	7	7	6	4
HIST1H4J	7	2	7	3
HIST1H4K	11	7	5	5
HIST1H2BN	156	128	69	49
HIST1H2AK	35	34	33	25
HIST1H2BPS2	0	0	0	0
HIST1H2AL	12	10	18	15
HIST1H1B	51	39	30	28
HIST1H3I	43	35	43	33
HIST1H4L	36	36	30	49
HIST1H3J	10	10	12	13
HIST1H2AM	0	0	0	0
HIST1H2BO	45	26	44	31
RNU7-26P	0	0	0	0
OR2B2	0	0	0	0
OR2W6P	0	1	0	2
OR2B6	0	0	1	2
RPLP2P1	0	0	0	0
OR2W4P	0	0	0	0
IQCB2P	0	0	0	0
OR2W2P	1	0	0	0
OR2B7P	0	0	1	0
OR2B8P	1	2	0	0
OR1F12	0	0	1	0
AL121944.1	1	3	0	6
ZNF165	0	2	6	3
ZSCAN12P1	1	5	5	3
ZNF602P	0	1	0	1
ZSCAN16-AS1	38	28	48	51
ZSCAN16	8	8	17	12
